team_id,score
team_1,0.9850
team_2,0.9820
team_3,0.9800
team_4,0.9780
team_5,0.9750
team_6,0.9720
team_7,0.9700
team_8,0.9680
team_9,0.9650
team_10,0.9620
team_11,0.9600
team_12,0.9580
team_13,0.9550
team_14,0.9520
team_15,0.9500
team_16,0.9480
team_17,0.9450
team_18,0.9420
team_19,0.9400
team_20,0.9380
team_21,0.9350
team_22,0.9320
team_23,0.9300
team_24,0.9280
team_25,0.9250
team_26,0.9220
team_27,0.9200
team_28,0.9180
team_29,0.9150
team_30,0.9120
team_31,0.9100
team_32,0.9080
team_33,0.9050
team_34,0.9020
team_35,0.9000
team_36,0.8980
team_37,0.8950
team_38,0.8920
team_39,0.8900
team_40,0.8880
team_41,0.8850
team_42,0.8820
team_43,0.8800
team_44,0.8780
team_45,0.8750
team_46,0.8720
team_47,0.8700
team_48,0.8680
team_49,0.8650
team_50,0.8620
team_51,0.8600
team_52,0.8580
team_53,0.8550
team_54,0.8520
team_55,0.8500
team_56,0.8480
team_57,0.8450
team_58,0.8420
team_59,0.8400
team_60,0.8380
team_61,0.8350
team_62,0.8320
team_63,0.8300
team_64,0.8280
team_65,0.8250
team_66,0.8220
team_67,0.8200
team_68,0.8180
team_69,0.8150
team_70,0.8120
team_71,0.8100
team_72,0.8080
team_73,0.8050
team_74,0.8020
team_75,0.8000
team_76,0.7980
team_77,0.7950
team_78,0.7920
team_79,0.7900
team_80,0.7880
team_81,0.7850
team_82,0.7820
team_83,0.7800
team_84,0.7780
team_85,0.7750
team_86,0.7720
team_87,0.7700
team_88,0.7680
team_89,0.7650
team_90,0.7620
team_91,0.7600
team_92,0.7580
team_93,0.7550
team_94,0.7520
team_95,0.7500
team_96,0.7480
team_97,0.7450
team_98,0.7420
team_99,0.7400
team_100,0.7380

